,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,qout_km3
2003-09-30,0.0027963039841787636,0.939712,0.055351880254835374,0.2730213609063221,0.07404188493141334,0.002983273030635878,0.0,0.15259134384,0.000646873509888
2003-10-31,0.0023210765044068566,0.239038,0.031871242335370746,0.15971767358785172,0.062099645426346675,0.00020766495714906688,0.0,0.15075715908,0.0006428122011648001
2003-11-30,0.11947784035010241,0.08076699999999999,0.03097645277438681,0.09216489208653812,0.14400935873756865,0.008769716348423063,0.5236573840961792,0.15502870032,0.002335986487295999
2003-12-31,0.3992882121601299,0.025086999999999998,0.018628605978560878,0.04072513310146485,0.3932509220550777,0.042522321146679365,2.4607457128831163,0.1244704668,0.015270765456383999
2004-01-31,0.13955803843186407,0.10029099999999999,0.034465726510306736,0.07676381224065049,0.4033667014005459,0.07005027215572243,3.667579787740484,0.13313936424,0.021965319106560008
2004-02-29,0.29413946869092866,0.339839,0.038409683692690426,0.07566489251329565,0.4139039715520753,0.09370377674240896,5.421844781562745,0.1565841186,0.052070381660159995
2004-03-31,0.05510461322862835,0.43951399999999996,0.08325962366034628,0.21490195492194197,0.39170545576618676,0.11603540617133322,3.203562365845778,0.14881072764,0.05625891210240001
2004-04-30,0.018527080565144585,0.6897829999999999,0.09131100578225615,0.25615662677808293,0.3172420800287122,0.09091355039679345,1.1575956537276508,0.14928315048,0.029569263390719996
2004-05-31,0.02211783691100003,2.032691,0.07537242459057357,0.22970379726096857,0.21636528044473727,0.06540034154075919,0.0,0.17241090048,0.013003772285952
2004-06-30,0.0034443277164710405,2.024423,0.10113855533631856,0.37769573078947943,0.1295381743961349,0.039073606528650044,0.0,0.17516402784000001,0.0034044042700800007
2004-07-31,0.000810479614856736,2.383151,0.06875458297749543,0.3900452437890233,0.09511642523447217,0.014098556395465473,0.0,0.16436367696,0.0011138750816255996
2004-08-31,2.8521496940244545e-06,1.8892799999999998,0.047310410949787406,0.34504345884113347,0.07586834509101176,0.0018220696303686275,0.0,0.1512308154,0.00043923298498560015
2004-09-30,0.012223262402796645,0.9797079999999999,0.05196287825322045,0.26478054690361985,0.06336411784453021,5.3783984111881785e-05,0.0,0.13967804172,0.0003916227032064001
2004-10-31,0.2425516256529755,0.29788899999999996,0.04337361090617922,0.13022201359515428,0.19023285046894434,0.006190911510894716,0.0,0.13752561912,0.0033942020668416
2004-11-30,0.12576947864642252,0.219412,0.026267040543857537,0.06691918133822267,0.30417586504081573,0.019322673852315314,0.7686787064953955,0.13792650012,0.005286796397568001
2004-12-31,0.2597830064187099,0.060821,0.023473700459731257,0.06220433657659569,0.40322620446519214,0.029460633356097856,2.5213377641271806,0.13430993676,0.021202967420928004
2005-01-31,0.3613468328209983,0.187687,0.02650849618931335,0.06259792112541933,0.4189618612248094,0.056232941162779264,4.604060225524008,0.14414817324,0.08867109159936
2005-02-28,0.174149138305933,0.157409,0.051698499424263696,0.09045060517044658,0.41938335203087057,0.06281514412054183,4.573741578627378,0.14722077192,0.05819415017471999
2005-03-31,0.33856115231779604,0.550974,0.06809270598658568,0.1506826077365831,0.42050732751370046,0.0777367532415475,4.558658916663378,0.13979398884,0.14962497444864
2005-04-30,0.10296603972608179,1.191905,0.0734984698773125,0.15518870789171474,0.41558993477632006,0.11841961575384688,2.5194766720317054,0.14944720332,0.10387898016768002
2005-05-31,0.18839204045501026,2.353425,0.12163520327978519,0.262330502019357,0.3603746391823059,0.1070489382595019,0.30544947345599216,0.15376808376,0.12045450221567998
2005-06-30,0.07173184927424071,2.5813569999999997,0.13046469772007474,0.35902475128287625,0.24657212154578825,0.07874926544984351,0.0,0.15987257628,0.03834511543296001
2005-07-31,0.0,2.3982859999999997,0.05896146052713335,0.4032930655391212,0.13740600277594356,0.04548543797955028,0.0,0.158317158,0.009049623395328
2005-08-31,0.001455449161544248,1.88991,0.0505242208246547,0.3509868591524544,0.09905033942437648,0.01944420259733254,0.0,0.15052403136,0.0030542998855680003
2005-09-30,0.01621286757678881,1.1900629999999999,0.07084244221305272,0.26036821153003215,0.0782567929920251,0.007229829467114427,0.0,0.1493189214,0.001935972043776
2005-10-31,0.029118030768620348,0.40029,0.04165370859590098,0.1358766315649319,0.06519057800412864,0.0027641302781935906,0.0,0.14630059584,0.002224912140288
2005-11-30,0.094976919969426,0.120485,0.03451857466394479,0.10933416466927097,0.09413294668699608,0.0015638974205487279,0.35677749985610724,0.13892438544,0.002984083282943999
2005-12-31,0.6015681125710804,0.042287,0.022920044155059778,0.052253608523139455,0.4035071983358996,0.014455950137565005,1.2031947144779236,0.15570958128,0.10916479793664001
2006-01-31,0.3226123705829998,0.111416,0.029145536003136064,0.056934831695157916,0.4169949041298573,0.040938675690281756,2.8670086565742823,0.14161337184,0.1344880364544
2006-02-28,0.16047105423963395,0.12756299999999998,0.037552130837363674,0.10561957507598407,0.4174163949359185,0.056990146668937904,3.4515781730324018,0.16323627624,0.07538865481728001
2006-03-31,0.4168235421707522,0.893076,0.03034996523639291,0.04866097453473202,0.41797838267733334,0.13975102774260645,6.426971494529395,0.1623136332,0.1954321330176
2006-04-30,0.4173635945675467,1.323486,0.06893795065441077,0.1316978090367326,0.42050732751370046,0.18148430507881852,4.5161486899362355,0.16463627604,0.3856775344127999
2006-05-31,0.04951445799703152,1.435477,0.12630060672372168,0.3011564467912447,0.3228619574428613,0.1367813642404799,0.8963671797978314,0.15743028588,0.11860489414656002
2006-06-30,0.0012849076240950043,1.922818,0.10680883596468296,0.37820868438838806,0.18657993014974747,0.08252223715885472,0.0,0.15483504396,0.02991422997504
2006-07-31,0.00034764681890222534,2.156779,0.050711784264756636,0.3963096547792801,0.11928189811531295,0.03546162178465377,0.0,0.15543574872,0.009006808393728
2006-08-31,6.347154768694419e-06,1.9754349999999998,0.06092770687552676,0.35501144531247436,0.0897775416910306,0.0088405874598173,0.0,0.15432438324,0.004467684252671999
2006-09-30,0.00025586826695809715,1.148105,0.0604783787233504,0.2497601411872487,0.07249641864252236,0.0014920481944273927,0.0,0.15896720196,0.003064820143104001
2006-10-31,0.023458003281583678,0.47547799999999996,0.04248234446017093,0.14489092127661196,0.06097566994351688,0.0003587664105540908,0.0,0.15729583656,0.0039874222632960005
2006-11-30,0.13351001011511657,0.173336,0.02989898421783721,0.09404172249629222,0.11408351150722512,0.0014100458359650563,0.41861326325079423,0.12970905636,0.005608765209599999
2006-12-31,0.19740128144476063,0.075595,0.026638170544731707,0.070733144341397,0.2635722507235891,0.00896867359315565,1.316072628973052,0.12049989468,0.009718516048896
