,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,Sres_outlet
2003-05-31,0.8612743425593395,0.179452,0.8675030842096211,3.190421602412194,1.524188444001782,0.32263079608228695,0.13459674669057134,0.20747380296,5.47170124476
2003-06-30,0.05663809888275833,0.19472599999999998,0.9955968910072537,4.939315302887167,0.8498093350325711,0.18403545864370144,0.0,0.23569705884,5.04258588756
2003-07-31,0.14219759726908646,0.182509,0.5982147789567608,5.0230814676434905,0.5884212186023655,0.0962315754187516,0.0,0.22162428552,4.37535338376
2003-08-31,0.507759329642762,0.179755,0.645413116791477,4.570224046660539,0.4602782616391279,0.04295148971523285,0.0,0.19116966432,4.01935872096
2003-09-30,0.17093894381810032,0.079035,0.5348263847142495,3.400247745425777,0.3794200297166808,0.02332043634768893,0.0,0.15238781964,3.89702710848
2003-10-31,0.004086230204130201,0.0033469999999999997,0.3335425257284609,1.762255944975306,0.32438829032548394,0.015561714551427217,0.0,0.11105760528,3.81254976372
2003-11-30,2.089272927780284,0.014908,0.302438610977148,0.6569481642912364,1.166678242262237,0.04907554792270337,0.0889330131658353,0.08098042896,3.81169496208
2003-12-31,4.356834491076467,0.010553,0.11049435481796502,0.15156237240734327,2.300780271481876,0.16219817073577006,0.46937969380896544,0.05867417664,4.12717720776
2004-01-31,1.7953811657590495,0.008433,0.1456584333883586,0.23205531368769752,2.3371403340619294,0.17588744945642143,0.6231062926854939,0.02893867428,4.44854562
2004-02-29,4.047223217494631,0.019332,0.16037327731656617,0.2920097447409834,2.4031377456284613,0.2977140090606859,0.9609662609547378,0.02009092224,4.771840728
2004-03-31,0.6949016523001283,0.036997999999999996,0.4502618295101997,2.084807000389225,2.225757138748436,0.24394954356584328,0.6240064439321867,0.0495612264,4.81696636032
2004-04-30,0.7647694332398689,0.070601,0.613669397608389,2.9352011386903007,1.572038486846444,0.14521094868778428,0.2641588278524578,0.12979416648,5.00767223616
2004-05-31,0.8560967363266013,0.160382,0.7005641126614172,2.533627708800605,1.0844295401809319,0.08590514908805545,0.0,0.2322396144,4.765920024
2004-06-30,0.2247962586036528,0.183297,0.9911069762575945,4.643539370647802,0.6825697499947169,0.044605279037814485,0.0,0.217647546,4.14550178664
2004-07-31,0.049764296201407134,0.185519,0.7109252073228127,5.182666828122465,0.5077452435355608,0.01583820359097014,0.0,0.1866193566,3.45657730356
2004-08-31,0.15703200637561837,0.152444,0.5583983442172347,4.4028470906914,0.40993324039910894,0.006207797189888981,0.0,0.15080033088,2.97314195412
2004-09-30,0.11121183066525266,0.06641899999999999,0.6144209193369118,3.4882051841660084,0.3450038164455906,0.0033555282528327525,0.0,0.11727187752,2.69250305148
